employee_name,hours_worked,meetings_per_day,stress_score,sleep_hours,productivity_drop,overtime_hours,workload_level,job_satisfaction,burnout,burnout_probability,risk_level
Employee 1,9.0,3.0,4.0,8.0,2.0,2.0,3.0,7.0,0,16.0,Low
Employee 2,8.0,2.0,5.0,8.0,4.0,2.0,2.0,6.0,0,36.0,Medium
Employee 3,7.0,2.0,3.0,9.0,2.0,1.0,1.0,8.0,0,20.0,Low
Employee 4,12.0,5.0,7.0,7.0,5.0,3.0,7.0,4.0,1,52.0,Medium
Employee 5,9.0,3.0,4.0,8.0,3.0,2.0,4.0,7.0,0,29.0,Low
Employee 6,11.0,5.0,8.0,6.0,6.0,3.0,6.0,3.0,1,62.0,Medium
Employee 7,9.0,3.0,4.0,8.0,3.0,2.0,4.0,6.0,0,33.0,Medium
Employee 8,9.0,3.0,5.0,7.0,5.0,2.0,3.0,5.0,1,50.0,Medium
Employee 9,7.0,1.0,2.0,9.0,1.0,1.0,1.0,8.0,0,12.0,Low
Employee 10,8.0,2.0,6.0,7.0,5.0,2.0,3.0,5.0,1,51.0,Medium
Employee 11,10.0,5.0,5.0,8.0,3.0,2.0,5.0,6.0,0,32.0,Low
Employee 12,8.0,2.0,6.0,7.0,4.0,2.0,2.0,5.0,0,39.0,Medium
Employee 13,11.0,5.0,7.0,7.0,6.0,3.0,6.0,4.0,1,59.0,Medium
Employee 14,9.0,3.0,4.0,8.0,2.0,2.0,4.0,7.0,0,22.0,Low
Employee 15,9.0,3.0,8.0,6.0,6.0,3.0,4.0,3.0,1,57.0,Medium
Employee 16,8.0,2.0,6.0,7.0,5.0,2.0,3.0,4.0,0,47.0,Medium
Employee 17,8.0,2.0,7.0,7.0,5.0,2.0,3.0,4.0,0,46.0,Medium
Employee 18,9.0,3.0,7.0,7.0,4.0,3.0,4.0,4.0,0,44.0,Medium
Employee 19,9.0,3.0,7.0,6.0,6.0,3.0,4.0,3.0,1,60.0,Medium
Employee 20,10.0,3.0,7.0,7.0,5.0,3.0,5.0,4.0,0,46.0,Medium
Employee 21,8.0,2.0,4.0,8.0,2.0,1.0,2.0,7.0,0,20.0,Low
Employee 22,8.0,2.0,4.0,8.0,2.0,1.0,2.0,7.0,0,20.0,Low
Employee 23,7.0,1.0,3.0,8.0,2.0,1.0,1.0,8.0,0,19.0,Low
Employee 24,8.0,2.0,5.0,8.0,3.0,2.0,3.0,6.0,0,31.0,Low
Employee 25,13.0,6.0,9.0,6.0,8.0,4.0,8.0,2.0,1,81.0,High
